原始序号,模型名称,一级分类,二级分类,model_type,architecture,target_stem,config_instruments,config_target_instrument,大小MiB,支持状态,推荐标签,业务场景,能力,备注,分类依据
98,mel_band_roformer_karaoke_gabox_v2.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Vocals|Instrumental,Vocals,870.8,supported,首选,vocal|instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
99,model_mel_band_roformer_karaoke_aufr33_viperx_sdr_10.1956.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,instrumental/vocals,,,870.8,supported,首选,instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,karaoke 名称，按和声/伴唱用途归类
100,small_karaoke_gaboxaufr.ckpt,卡拉OK/和声,卡拉OK/和声,mel_band_roformer,mel_band_roformer,backing_vocal,Instrumental|Vocals,Vocals,193.2,supported,精选,vocal|instrumental|karaoke,backing_vocal（和声）,推荐依据：轻量伴唱模型；适合 backing vocal/和声测试。,config target_instrument=vocals; karaoke 作为和声/伴唱用途
101,0d19c1c6-0f06f20e.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,169.8,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
102,1ef250f1-592467ce.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,255.2,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
103,75fc33f5-1941ce65.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.7,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
104,7d865c68-3d5dd56b.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,160.1,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
105,7ecf8ec1-70f50cc9.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,169.8,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
106,902315c2-b39ce9c9.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.7,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
107,9a6b4851-03af0aa6.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,255.2,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
108,cfa93e08-61801ae1.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.6,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
109,demucs-e07c671f.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,1013.5,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
110,demucs.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,2474.0,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
111,demucs48_hq-28a1282c.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,570.2,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
112,demucs_extra-3646af93.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,1013.5,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
113,demucs_extra.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,2474.0,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
114,demucs_unittest-09ebc15f.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,4.0,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
115,e51eebcc-c1b80bdd.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.6,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
116,ebf34a2db.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.6,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
117,fa0cb7f9-100d8bf4.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,159.7,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
118,HTDemucs4_FT_other.th,传统非 VR 模型,Demucs/HTDemucs 系列,htdemucs,htdemucs,,,,80.2,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
119,light.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_demucs,demucs,,,,1013.5,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
120,tasnet-beb46fac.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_tasnet,tasnet,,,,42.0,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
121,tasnet.th,传统非 VR 模型,Demucs/HTDemucs 系列,legacy_tasnet,tasnet,,,,41.9,supported,,,Demucs/HTDemucs 系列,依据：Demucs/HTDemucs/.th 名称或格式,Demucs/HTDemucs/.th 名称或格式
122,UVR-BVE-4B_SN-44100-1.pth,传统 VR 模型,VR 伴唱/和声,vr,vr,backing_vocal,,,213.3,supported,精选,karaoke,backing vocal（伴唱）,推荐依据：RoFormer BVE 模型；适合复杂人声层次分离。,官方 is_bv_model/BVE 名称
123,UVR-De-Echo-Aggressive.pth,传统 VR 模型,VR 去回声,vr,vr,echo,,,121.2,supported,,dereverb,VR 去回声,输出目标：echo。依据：VR De-Echo 名称,VR De-Echo 名称
124,UVR-De-Echo-Normal.pth,传统 VR 模型,VR 去回声,vr,vr,echo,,,121.2,supported,,dereverb,VR 去回声,输出目标：echo。依据：VR De-Echo 名称,VR De-Echo 名称
125,UVR-DeEcho-DeReverb.pth,传统 VR 模型,VR 去回声+去混响,vr,vr,echo/reverb,,,213.3,supported,,dereverb,VR 去回声+去混响,输出目标：echo/reverb。依据：VR DeEcho-DeReverb 名称,VR DeEcho-DeReverb 名称
126,UVR-DeNoise-Lite.pth,传统 VR 模型,VR 降噪,vr,vr,noise,,,17.1,supported,首选,denoise,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,VR DeNoise 名称
127,UVR-DeNoise.pth,传统 VR 模型,VR 降噪,vr,vr,noise,,,121.2,supported,首选,denoise,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,VR DeNoise 名称
128,UVR-DeReverb-aufr33-jarredou_4band_v4_ms_fullband.pth,传统 VR 模型,VR 去混响,vr,vr,reverb,,,56.2,supported,,dereverb,VR 去混响,输出目标：reverb。依据：VR DeReverb 名称,VR DeReverb 名称
129,Harmonic_Noise_Separation_yxlllc.pth,传统 VR 模型,VR 谐波/噪声分离,vr,vr,noise/no_noise,,,56.6,supported,,denoise,VR 谐波/噪声分离,输出目标：noise/no_noise。依据：Harmonic_Noise 名称,Harmonic_Noise 名称
130,7_HP2-UVR.pth,传统 VR 模型,VR HP2 系列,vr,vr,instrumental/vocals,,,524.6,supported,,instrumental,VR HP2 系列,输出目标：instrumental/vocals。依据：HP2 系列名称,HP2 系列名称
131,8_HP2-UVR.pth,传统 VR 模型,VR HP2 系列,vr,vr,instrumental/vocals,,,524.6,supported,,instrumental,VR HP2 系列,输出目标：instrumental/vocals。依据：HP2 系列名称,HP2 系列名称
132,9_HP2-UVR.pth,传统 VR 模型,VR HP2 系列,vr,vr,instrumental/vocals,,,524.6,supported,,instrumental,VR HP2 系列,输出目标：instrumental/vocals。依据：HP2 系列名称,HP2 系列名称
133,1_HP-UVR.pth,传统 VR 模型,VR 伴奏/无人声提取,vr,vr,instrumental,,,120.9,supported,,vocal|instrumental,VR 伴奏/无人声提取,输出目标：instrumental。依据：VR 默认 Instrumental/Vocals 二轨,VR 默认 Instrumental/Vocals 二轨
134,2_HP-UVR.pth,传统 VR 模型,VR 伴奏/无人声提取,vr,vr,instrumental,,,120.9,supported,,vocal|instrumental,VR 伴奏/无人声提取,输出目标：instrumental。依据：VR 默认 Instrumental/Vocals 二轨,VR 默认 Instrumental/Vocals 二轨
135,5_HP-Karaoke-UVR.pth,传统 VR 模型,VR 和声/伴唱,vr,vr,instrumental/vocals,,,120.9,supported,首选,instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,官方 is_karaoke/Karaoke 名称
136,6_HP-Karaoke-UVR.pth,传统 VR 模型,VR 和声/伴唱,vr,vr,instrumental/vocals,,,120.9,supported,首选,instrumental|karaoke,lead/backing vocal（主唱/伴唱）,推荐依据：Karaoke 强模型；适合主唱、和声、伴唱分离。,官方 is_karaoke/Karaoke 名称
137,MGM_HIGHEND_v4.pth,传统 VR 模型,VR MGM 系列,vr,vr,instrumental/vocals,,,30.4,supported,,instrumental,VR MGM 系列,输出目标：instrumental/vocals。依据：MGM 系列名称,MGM 系列名称
138,MGM_LOWEND_A_v4.pth,传统 VR 模型,VR MGM 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR MGM 系列,输出目标：instrumental/vocals。依据：MGM 系列名称,MGM 系列名称
139,MGM_LOWEND_B_v4.pth,传统 VR 模型,VR MGM 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR MGM 系列,输出目标：instrumental/vocals。依据：MGM 系列名称,MGM 系列名称
140,MGM_MAIN_v4.pth,传统 VR 模型,VR MGM 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR MGM 系列,输出目标：instrumental/vocals。依据：MGM 系列名称,MGM 系列名称
141,10_SP-UVR-2B-32000-1.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
142,11_SP-UVR-2B-32000-2.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
143,12_SP-UVR-3B-44100.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
144,13_SP-UVR-4B-44100-1.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
145,14_SP-UVR-4B-44100-2.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
146,15_SP-UVR-MID-44100-1.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
147,16_SP-UVR-MID-44100-2.pth,传统 VR 模型,VR SP 系列,vr,vr,instrumental/vocals,,,30.5,supported,,instrumental,VR SP 系列,输出目标：instrumental/vocals。依据：SP-UVR 系列名称,SP-UVR 系列名称
148,3_HP-Vocal-UVR.pth,传统 VR 模型,VR 人声提取,vr,vr,vocals,,,120.9,supported,,vocal,VR 人声提取,输出目标：vocals。依据：官方 primary_stem/name 指向 Vocals,官方 primary_stem/name 指向 Vocals
149,4_HP-Vocal-UVR.pth,传统 VR 模型,VR 人声提取,vr,vr,vocals,,,120.9,supported,,vocal,VR 人声提取,输出目标：vocals。依据：官方 primary_stem/name 指向 Vocals,官方 primary_stem/name 指向 Vocals
150,17_HP-Wind_Inst-UVR.pth,传统 VR 模型,VR 风声/管乐伴奏,vr,vr,woodwinds,,,213.3,supported,,instrumental,VR 风声/管乐伴奏,输出目标：woodwinds。依据：Wind_Inst 名称,Wind_Inst 名称
151,checkpoint-multi_fixed.ckpt,音乐多轨/分轨,DNR 对话/音乐/音效分轨,bandit,unknown,speech/music/effects,Speech|Music|Effects,,142.2,supported,首选,speech,speech/music/effects（三分轨）,推荐依据：对白/音乐/音效三分轨；适合影视素材拆分。,config instruments=speech/music/effects
152,model_bandit_plus_dnr_sdr_11.47.ckpt,音乐多轨/分轨,DNR 对话/音乐/音效分轨,bandit,bandit,speech/music/effects,Speech|Music|Effects,,142.0,supported,首选,speech,speech/music/effects（三分轨）,推荐依据：DnR 三分轨模型；适合对白、音乐、音效拆分。,DNR 名称
153,aufr33-jarredou_DrumSep_model_mdx23c_ep_141_sdr_10.8059.ckpt,音乐多轨/分轨,鼓组细分,mdx23c,mdx23c,drums,kick|snare|toms|hh|ride|crash,,417.4,supported,首选,drums,drums（鼓组）,推荐依据：鼓组细分强模型；适合 kick/snare/cymbals/toms 拆分。,drumsep 名称
154,drumsep_5stems_mdx23c_jarredou.ckpt,音乐多轨/分轨,鼓组细分,mdx23c,mdx23c,drums,kick|snare|toms|hh|ride|crash,,417.4,supported,精选,drums,drums（鼓组）,推荐依据：鼓组多分轨模型；适合鼓组层次提取。,drumsep 名称
155,gilliaan_drumsV1.ckpt,音乐多轨/分轨,鼓组细分,bs_roformer,bs_roformer,drums/other,drums|other,,289.4,supported,精选,drums,drums（鼓组）,推荐依据：鼓组细分模型；适合 kick/snare/cymbals/toms 拆分。,DrumsOther Duality 名称
156,model_drumsep.th,音乐多轨/分轨,鼓组细分,htdemucs,demucs,drums,kick|snare|cymbals|toms,,159.6,supported,精选,drums,drums（鼓组）,推荐依据：HDemucs 鼓组拆分备选；适合稳定对照与轻量测试。,drumsep 名称
157,bs_roformer_4stems_ft.ckpt,音乐多轨/分轨,四轨分离,bs_roformer,bs_roformer,drums/bass/other/vocals,,,502.8,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：BS-RoFormer 四分轨；适合高质量音乐分层。,4 stems/MUSDB/HTDemucs4 名称
158,HTDemucs4.th,音乐多轨/分轨,四轨分离,htdemucs,htdemucs,drums/bass/other/vocals,,,80.2,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
159,huge_scnet_4stems_fullness.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,,,377.3,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 四分轨；适合更高质量但显存更高。,4 stems/MUSDB/HTDemucs4 名称
160,huge_scnet_4stems_strong_fullness.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,,,377.3,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
161,huge_scnet_4stems_v1.2.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,,,377.3,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,4 stems/MUSDB/HTDemucs4 名称
162,mel_band_roformer_4stems_large_ver1.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,,,3589.7,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
163,mel_band_roformer_4stems_xl_ver1.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,,,6114.1,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
164,MelBandRoformer4StemFTLarge.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,,,3589.7,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
165,model_bs_roformer_ep_17_sdr_9.6568.ckpt,音乐多轨/分轨,四轨分离,bs_roformer,bs_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,503.0,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
166,model_mdx23c_ep_168_sdr_7.0207.ckpt,音乐多轨/分轨,四轨分离,mdx23c,mdx23c,drums/bass/other/vocals,vocals|bass|drums|other,,427.4,supported,首选,vocal|four_stem|drums,4 stems（四分轨）,推荐依据：经典四分轨强模型；适合 bass/drums/vocals/other。,config 4 stems
167,model_mel_band_roformer_ep_168_sdr_7.8127.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,239.3,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
168,model_mel_band_roformer_ep_1_sdr_8.2175.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,223.2,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
169,model_mel_band_roformer_ep_38_sdr_6.4698.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,78.1,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
170,model_mel_band_roformer_ep_7_sdr_6.8652.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,78.1,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
171,model_mel_band_roformer_experimental_ep_15_sdr_6.4908.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,78.1,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
172,model_mel_band_roformer_experimental_ep_166_sdr_6.7022.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,113.1,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
173,model_mel_band_roformer_experimental_ep_48_sdr_7.0412.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,113.1,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
174,model_mel_band_roformer_experimental_ep_53_sdr_5.1235.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,28.5,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
175,model_mel_band_roformer_experimental_ep_9_sdr_6.5254.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,drums|bass|other|vocals,,169.3,supported,,four_stem|drums,四轨分离,输出目标：drums/bass/other/vocals。依据：config 4 stems,config 4 stems
176,model_scnet_ep_36_sdr_10.0891.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,204.1,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
177,model_scnet_ep_54_sdr_9.8051.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,206.2,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
178,model_scnet_masked_ep_111_sdr_9.8286.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,204.2,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
179,model_scnet_masked_ep_156_sdr_8.8149.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,40.5,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
180,model_scnet_sdr_9.3244.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,161.0,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
181,model_scnet_tran_sdr_8.9272.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,39.8,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
182,SCNet-large_starrytong_fixed.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,161.0,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
183,scnet_checkpoint_musdb18.ckpt,音乐多轨/分轨,四轨分离,scnet,scnet,drums/bass/other/vocals,drums|bass|other|vocals,,40.5,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：SCNet 高质量四分轨；适合更高质量但显存更高。,config 4 stems
184,ver2.ckpt,音乐多轨/分轨,四轨分离,mel_band_roformer,mel_band_roformer,drums/bass/other/vocals,,,3589.7,supported,精选,four_stem|drums,4 stems（四分轨）,推荐依据：稳定四分轨模型；适合通用拆分与对照测试。,4 stems/MUSDB/HTDemucs4 名称
185,bs_mega_53stem_accordion_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,accordion,accordion|other,accordion,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 accordion 定位与提取。,MVSep Mega 53-stem 命名
186,bs_mega_53stem_acoustic-guitar_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,acoustic-guitar,acoustic-guitar|other,acoustic-guitar,74.0,supported,精选,mega_53|single_instrument,guitar（吉他）,推荐依据：53 分轨吉他子模型；适合吉他声部定位。,MVSep Mega 53-stem 命名
187,bs_mega_53stem_back-vocal_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,back-vocal,back-vocal|other,back-vocal,74.0,supported,精选,mega_53|single_instrument|karaoke,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 back-vocal 定位与提取。,MVSep Mega 53-stem 命名
188,bs_mega_53stem_banjo_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,banjo,banjo|other,banjo,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 banjo 定位与提取。,MVSep Mega 53-stem 命名
189,bs_mega_53stem_bass_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,bass,bass|other,bass,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 bass 定位与提取。,MVSep Mega 53-stem 命名
190,bs_mega_53stem_bassoon_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,bassoon,bassoon|other,bassoon,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 bassoon 定位与提取。,MVSep Mega 53-stem 命名
191,bs_mega_53stem_bells_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,bells,bells|other,bells,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 bells 定位与提取。,MVSep Mega 53-stem 命名
192,bs_mega_53stem_bowed_strings_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,bowed-strings,bowed_strings|other,bowed_strings,74.0,supported,精选,mega_53|single_instrument,strings（弦乐）,推荐依据：53 分轨弦乐子模型；适合弦乐层定位与提取。,MVSep Mega 53-stem 命名
193,bs_mega_53stem_brass_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,brass,brass|other,brass,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 brass 定位与提取。,MVSep Mega 53-stem 命名
194,bs_mega_53stem_cello_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,cello,cello|other,cello,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 cello 定位与提取。,MVSep Mega 53-stem 命名
195,bs_mega_53stem_clarinet_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,clarinet,clarinet|other,clarinet,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 clarinet 定位与提取。,MVSep Mega 53-stem 命名
196,bs_mega_53stem_congas_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,congas,congas|other,congas,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 congas 定位与提取。,MVSep Mega 53-stem 命名
197,bs_mega_53stem_digital-piano_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,digital-piano,digital-piano|other,digital-piano,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 digital-piano 定位与提取。,MVSep Mega 53-stem 命名
198,bs_mega_53stem_dobro_mvsep.ckpt,音乐多轨/分轨,MVSep 53 轨分离,bs_roformer,bs_roformer,dobro,dobro|other,dobro,74.0,supported,精选,mega_53|single_instrument,53 stems（53分轨）,推荐依据：53 分轨单乐器模型；适合 dobro 定位与提取。,MVSep Mega 53-stem 命名
